,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,99,96,50.68,severo-kurilsk,283.9,7.89
1,86,66,-33.21,jamestown,283.5,10.88
2,75,87,69.44,tuktoyaktuk,283.15,0.92
3,75,65,19.71,hilo,298.19,1.5
4,1,93,45.36,saint-philippe,284.93,1.5
5,73,79,4.14,meulaboh,301.6,4.81
6,44,62,-0.86,sorong,303.1,4.08
7,65,93,-54.81,ushuaia,268.6,1.51
8,0,45,29.36,yueyang,305.8,4.7
9,0,81,-34.53,bredasdorp,283.26,3.1
10,78,74,-2.02,lorengau,300.8,4.28
11,20,84,-53.16,punta arenas,273.68,2.6
12,40,68,42.04,evanston,290.54,1.5
13,100,91,18.62,coahuayana,296.0,1.14
14,1,87,42.65,albany,284.11,1.05
15,100,82,-42.77,puerto madryn,278.9,6.56
16,75,100,15.34,vaini,295.66,6.2
17,17,35,-33.64,busselton,290.14,5.07
18,36,77,0.53,thinadhoo,301.6,5.5
19,90,62,77.48,qaanaaq,270.9,3.26
20,23,90,-1.4,poso,294.9,1.09
21,40,61,22.89,cabo san lucas,301.06,2.67
22,95,65,-46.19,mataura,282.04,3.13
23,75,100,-7.47,pitimbu,295.15,3.1
24,48,90,64.25,hofn,273.0,1.51
25,57,92,8.02,upata,298.71,1.49
26,58,80,60.73,lodeynoye pole,287.8,3.83
27,100,80,69.22,ilulissat,275.15,3.37
28,75,93,-0.32,kalangala,292.15,4.1
29,100,70,-23.12,rikitea,293.4,9.75
30,62,96,69.38,leningradskiy,278.8,0.92
31,20,50,60.72,whitehorse,285.58,1.5
32,95,82,23.99,constitucion,291.48,1.34
33,75,82,-33.02,east london,286.15,2.6
34,21,53,49.6,manzhouli,297.9,4.58
35,82,87,-20.63,ponta do sol,289.9,3.54
36,52,77,-16.48,faanui,297.1,11.01
37,4,98,-0.74,puerto ayora,292.59,1.34
38,75,87,-42.78,new norfolk,283.23,4.6
39,75,82,8.96,lebu,287.15,2.1
40,20,57,-19.55,isangel,298.15,6.2
41,14,67,-9.8,atuona,299.5,2.83
42,39,50,57.31,teguldet,289.9,2.31
43,40,100,-42.48,castro,278.15,1.0
44,75,83,11.67,port blair,301.15,5.1
45,0,66,29.03,jalu,297.9,2.36
46,40,71,64.84,fairbanks,287.66,1.64
47,20,74,22.08,kapaa,300.39,8.7
48,89,32,7.71,batticaloa,309.9,3.13
49,40,83,-8.38,pucallpa,299.15,1.0
50,0,25,-20.37,khorixas,292.3,2.44
51,86,73,-21.21,avarua,296.15,8.7
52,15,63,63.79,muravlenko,288.0,3.6
53,75,87,-42.88,hobart,283.23,4.6
54,97,96,42.73,tyup,275.8,2.64
55,27,60,70.62,chokurdakh,279.1,1.45
56,90,100,15.52,candolim,297.15,5.1
57,75,93,62.45,yellowknife,281.05,2.1
58,100,55,66.77,zhigansk,283.6,4.32
59,90,93,60.79,bethel,285.51,9.8
60,75,87,62.91,bud,279.16,4.1
61,21,85,-34.42,hermanus,284.88,2.24
62,90,93,55.74,thompson,281.15,1.0
63,72,69,51.64,hanna,283.57,0.45
64,20,93,34.64,lompoc,290.26,5.4
65,75,69,-3.71,vila velha,299.25,7.2
66,76,23,14.4,marzuq,304.0,0.71
67,83,60,65.61,tasiilaq,279.15,2.6
68,20,77,43.27,bereda,286.85,1.5
69,1,83,39.95,kodiak,296.73,3.1
70,0,82,59.7,nikolskoye,288.15,2.0
71,100,81,16.29,catuday,301.6,10.38
72,40,83,22.89,agua verde,301.94,2.6
73,100,80,71.97,saskylakh,280.5,4.63
74,75,76,-37.84,olinda,283.81,7.7
75,27,95,-9.01,maragogi,293.4,2.44
76,61,82,63.05,beringovskiy,282.0,1.43
77,1,93,41.14,westport,288.18,1.24
78,35,70,3.07,butaritari,302.7,4.31
79,100,89,-43.3,rawson,277.6,5.91
80,1,50,39.28,alma,283.98,5.7
81,44,35,50.6,kungurtug,287.2,3.0
82,16,85,21.28,dzilam gonzalez,300.3,7.05
83,0,10,-23.58,bluff,304.9,6.94
84,0,25,-6.99,tanggulangin,307.6,1.88
85,0,100,6.8,georgetown,297.15,3.1
86,100,98,71.98,khatanga,281.5,0.35
87,100,85,56.94,sanchursk,287.6,0.81
88,31,68,69.7,pevek,280.1,3.36
89,8,70,29.94,hecun,300.3,1.71
90,0,47,37.17,sitka,296.18,4.47
91,100,50,-46.28,kaitangata,282.59,3.58
92,0,70,25.02,umm lajj,301.6,3.67
93,61,92,9.93,guider,295.0,1.37
94,20,87,57.48,inverness,284.12,5.1
95,73,48,69.3,deputatskiy,281.6,2.76
96,90,54,63.59,mayo,287.15,2.1
97,100,84,51.1,derzhavinsk,283.1,10.3
98,98,89,-46.43,mar del plata,275.2,4.54
99,78,68,62.59,puksoozero,287.3,3.63
100,3,97,-1.71,jutai,294.3,1.16
101,71,96,73.51,dikson,278.9,6.63
102,66,93,50.56,husavik,287.79,2.63
103,20,81,50.23,havre-saint-pierre,281.15,5.7
104,0,81,-33.59,port alfred,285.93,1.79
105,100,83,-22.97,arraial do cabo,291.5,5.02
106,90,62,67.8,batagay-alyta,279.5,2.25
107,85,89,65.58,lavrentiya,279.8,1.05
108,50,50,24.76,sanchor,308.0,2.48
109,0,87,-33.93,cape town,285.54,1.5
110,0,48,54.82,leninskoye,291.15,4.0
111,0,47,-33.86,esperance,287.15,3.1
112,1,72,36.62,pacific grove,289.79,3.1
113,1,87,44.37,pierre,288.15,4.1
114,96,81,-3.66,namatanai,298.6,9.4
115,1,36,48.59,shubarshi,291.5,4.36
116,22,65,-10.62,samarai,296.8,4.03
117,83,95,27.75,creel,287.4,1.5
118,75,93,58.66,tonstad,283.03,4.1
119,100,60,71.64,tiksi,280.7,4.82
120,0,87,46.42,saint-francois,279.68,1.5
121,75,100,63.84,grindavik,282.75,1.5
122,15,35,-13.79,cavalcante,290.2,4.45
123,40,83,-9.78,sao miguel dos campos,296.15,1.5
124,82,82,50.56,osakarovka,283.1,6.43
125,90,82,46.71,capreol,285.16,1.5
126,4,54,29.29,jingdezhen,304.8,4.55
127,100,81,-43.53,christchurch,281.21,7.2
128,1,53,35.41,elk city,298.68,3.1
129,100,82,50.1,vysokogornyy,291.8,1.72
130,40,55,35.74,nishihara,305.42,5.1
131,50,57,-8.93,airai,299.4,2.89
132,40,83,-20.34,bambous virieux,296.62,1.0
133,75,93,71.0,havoysund,282.15,7.2
134,0,93,48.78,bojnice,287.64,1.5
135,69,68,-34.72,port lincoln,284.4,11.94
136,8,65,-14.9,antalaha,296.2,2.07
137,20,93,42.81,portoferraio,294.04,2.1
138,1,65,-27.8,santiago del estero,282.9,2.66
139,100,85,-38.55,necochea,275.17,2.68
140,75,91,78.22,longyearbyen,276.15,7.2
141,95,84,-5.67,tual,298.0,6.25
142,100,96,7.08,arauca,296.0,0.99
143,0,71,-26.65,luderitz,286.15,3.1
144,0,78,37.14,lagoa,294.04,2.6
145,0,87,46.85,challans,280.39,1.5
146,0,12,-25.24,yulara,294.15,6.2
147,75,94,31.23,shanghai,300.9,1.0
148,80,94,13.81,bafoulabe,296.8,1.15
149,35,52,-3.36,nabire,302.4,3.51
150,100,76,65.8,turukhansk,285.2,2.45
151,40,82,39.62,vardo,290.85,3.6
152,19,79,-7.95,bambanglipuro,297.8,7.15
153,0,25,-16.1,senanga,294.4,4.49
154,0,47,-22.28,noumea,299.15,4.6
155,40,71,64.86,college,287.55,1.64
156,100,97,42.9,preobrazheniye,293.0,1.46
157,90,100,49.72,geraldton,283.15,2.6
158,18,74,-10.46,kirakira,298.6,6.24
159,1,57,34.11,olga,296.79,2.1
160,20,30,32.63,santa isabel,307.79,5.1
161,40,49,50.41,semey,293.15,4.0
162,9,65,39.43,shinuhayr,287.2,1.83
163,20,88,13.22,bathsheba,299.15,1.5
164,80,84,-17.73,caravelas,296.4,3.3
165,75,75,63.75,iqaluit,280.0,3.1
166,20,48,-10.16,kupang,303.15,5.1
167,0,37,29.83,kalanwali,311.4,2.07
168,20,78,20.93,nouadhibou,296.15,7.7
169,40,56,27.91,garhi yasin,310.15,2.75
170,20,63,39.45,saint george,292.8,2.1
171,40,88,41.47,boyabat,290.35,3.6
172,0,50,27.18,asyut,299.15,2.1
173,68,98,3.87,inirida,295.2,0.98
174,75,62,10.22,colon,305.15,6.7
175,90,82,42.03,akhmeta,291.15,2.6
176,1,39,46.41,miles city,292.38,4.1
177,0,46,-3.17,sola,297.9,3.08
178,0,47,30.65,tianmen,305.0,3.57
179,52,92,5.06,brokopondo,295.8,1.26
180,69,94,14.68,san cristobal,291.8,1.57
181,10,95,-10.29,penedo,292.9,2.45
182,88,100,-35.17,ahipara,284.26,18.96
183,0,37,61.68,baykit,285.5,2.37
184,0,88,-3.28,iranduba,298.64,1.5
185,5,93,47.66,torbay,286.49,5.1
186,0,60,-35.36,ulladulla,296.23,10.3
187,38,65,-46.13,tuatapere,282.04,3.13
188,75,68,28.89,luzhou,301.4,2.42
189,33,81,5.56,banda aceh,301.6,7.48
190,1,61,36.73,ponca city,297.54,2.6
191,90,72,-20.22,iquique,289.15,1.5
192,18,75,-30.17,cidreira,286.0,5.72
193,40,77,44.7,abrau-dyurso,294.15,3.0
194,75,72,41.96,bloomingdale,290.45,1.5
195,55,68,11.14,sulangan,302.9,1.63
196,100,80,38.52,ribeira grande,294.5,6.05
